grid_lat,grid_lon,n_species_baseline,n_species_recent,richness_change,richness_ratio,climate_departure
39.75,-0.25,0.0,1.0,1.0,,0.08
39.75,2.5,0.0,1.0,1.0,,0.056666666666666664
39.75,2.75,1.0,1.0,0.0,1.0,0.08333333333333333
39.75,3.0,0.0,1.0,1.0,,0.07666666666666666
39.75,3.25,0.0,1.0,1.0,,0.05333333333333334
39.75,3.5,0.0,1.0,1.0,,0.04
40.0,-9.0,2.0,2.0,0.0,1.0,0.04
40.0,-8.75,0.0,3.0,3.0,,0.016666666666666666
40.0,-8.5,1.0,6.0,5.0,6.0,0.01
40.0,-8.25,2.0,5.0,3.0,2.5,0.013333333333333334
40.0,-8.0,0.0,3.0,3.0,,0.013333333333333334
40.0,-7.75,0.0,5.0,5.0,,0.01
40.0,-7.5,3.0,4.0,1.0,1.3333333333333333,0.006666666666666667
40.0,-7.25,0.0,1.0,1.0,,0.006666666666666667
40.0,-6.25,1.0,1.0,0.0,1.0,0.03333333333333333
40.0,-6.0,0.0,2.0,2.0,,0.03333333333333333
40.0,-5.75,1.0,2.0,1.0,2.0,0.03
40.0,-5.5,0.0,2.0,2.0,,0.03
40.0,-5.25,0.0,1.0,1.0,,0.03333333333333333
40.0,-4.75,0.0,1.0,1.0,,0.05
40.0,-4.5,0.0,1.0,1.0,,0.056666666666666664
40.0,-4.0,1.0,1.0,0.0,1.0,0.06
40.0,-3.75,4.0,1.0,-3.0,0.25,0.056666666666666664
40.0,-3.5,0.0,1.0,1.0,,0.07
40.0,-3.0,0.0,1.0,1.0,,0.10666666666666667
40.0,-2.75,1.0,0.0,-1.0,0.0,0.11666666666666667
40.0,-2.5,1.0,0.0,-1.0,0.0,0.12666666666666668
40.0,-2.25,0.0,4.0,4.0,,0.11666666666666667
40.0,-2.0,2.0,1.0,-1.0,0.5,0.10333333333333333
40.0,-1.75,0.0,1.0,1.0,,0.09333333333333334
40.0,-1.5,2.0,0.0,-2.0,0.0,0.1
40.0,-1.0,1.0,4.0,3.0,4.0,0.08666666666666667
40.0,-0.75,2.0,1.0,-1.0,0.5,0.09333333333333334
40.0,-0.5,1.0,2.0,1.0,2.0,0.09
40.0,-0.25,1.0,2.0,1.0,2.0,0.08666666666666667
40.0,-0.0,1.0,1.0,0.0,1.0,0.09
40.0,3.0,0.0,1.0,1.0,,0.05
40.0,4.0,0.0,1.0,1.0,,0.04666666666666667
40.0,4.25,0.0,1.0,1.0,,0.04666666666666667
40.25,-9.0,4.0,2.0,-2.0,0.5,0.056666666666666664
40.25,-8.75,6.0,3.0,-3.0,0.5,0.016666666666666666
40.25,-8.5,8.0,8.0,0.0,1.0,0.01
40.25,-8.25,5.0,5.0,0.0,1.0,0.013333333333333334
40.25,-8.0,2.0,8.0,6.0,4.0,0.013333333333333334
40.25,-7.75,1.0,9.0,8.0,9.0,0.016666666666666666
40.25,-7.5,4.0,6.0,2.0,1.5,0.023333333333333334
40.25,-7.25,0.0,1.0,1.0,,0.02
40.25,-7.0,0.0,2.0,2.0,,0.03333333333333333
40.25,-6.75,1.0,3.0,2.0,3.0,0.04
40.25,-6.5,0.0,2.0,2.0,,0.04
40.25,-6.25,0.0,1.0,1.0,,0.043333333333333335
40.25,-6.0,1.0,1.0,0.0,1.0,0.043333333333333335
40.25,-5.75,8.0,2.0,-6.0,0.25,0.043333333333333335
40.25,-5.5,1.0,1.0,0.0,1.0,0.05
40.25,-5.25,2.0,3.0,1.0,1.5,0.04666666666666667
40.25,-5.0,3.0,3.0,0.0,1.0,0.056666666666666664
40.25,-4.75,2.0,2.0,0.0,1.0,0.05333333333333334
40.25,-4.5,6.0,4.0,-2.0,0.6666666666666666,0.06
40.25,-4.25,1.0,1.0,0.0,1.0,0.056666666666666664
40.25,-4.0,2.0,1.0,-1.0,0.5,0.06333333333333334
40.25,-3.75,2.0,4.0,2.0,2.0,0.06
40.25,-3.5,3.0,1.0,-2.0,0.3333333333333333,0.07666666666666666
40.25,-3.25,2.0,1.0,-1.0,0.5,0.1
40.25,-3.0,0.0,1.0,1.0,,0.10666666666666667
40.25,-2.75,0.0,2.0,2.0,,0.11333333333333333
40.25,-2.0,8.0,3.0,-5.0,0.375,0.1
40.25,-1.75,8.0,3.0,-5.0,0.375,0.09666666666666666
40.25,-1.5,6.0,2.0,-4.0,0.3333333333333333,0.10333333333333333
40.25,-1.25,4.0,2.0,-2.0,0.5,0.10666666666666667
40.25,-1.0,12.0,2.0,-10.0,0.16666666666666666,0.09666666666666666
40.25,-0.75,6.0,1.0,-5.0,0.16666666666666666,0.1
40.25,-0.5,0.0,1.0,1.0,,0.1
40.25,-0.25,0.0,5.0,5.0,,0.12
40.25,-0.0,0.0,1.0,1.0,,0.09666666666666666
40.25,0.25,0.0,1.0,1.0,,0.09666666666666666
40.5,-9.0,0.0,1.0,1.0,,0.05333333333333334
40.5,-8.75,1.0,5.0,4.0,5.0,0.02666666666666667
40.5,-8.5,4.0,4.0,0.0,1.0,0.016666666666666666
40.5,-8.25,0.0,7.0,7.0,,0.013333333333333334
40.5,-8.0,0.0,2.0,2.0,,0.016666666666666666
40.5,-7.75,7.0,5.0,-2.0,0.7142857142857143,0.016666666666666666
40.5,-7.5,0.0,6.0,6.0,,0.03333333333333333
40.5,-7.25,0.0,4.0,4.0,,0.03
40.5,-7.0,0.0,2.0,2.0,,0.04666666666666667
40.5,-6.75,2.0,0.0,-2.0,0.0,0.04666666666666667
40.5,-6.5,3.0,0.0,-3.0,0.0,0.043333333333333335
40.5,-6.25,1.0,0.0,-1.0,0.0,0.04666666666666667
40.5,-6.0,4.0,3.0,-1.0,0.75,0.04666666666666667
40.5,-5.75,11.0,0.0,-11.0,0.0,0.043333333333333335
40.5,-5.5,2.0,0.0,-2.0,0.0,0.04666666666666667
40.5,-5.25,0.0,2.0,2.0,,0.056666666666666664
40.5,-5.0,6.0,2.0,-4.0,0.3333333333333333,0.06
40.5,-4.75,2.0,3.0,1.0,1.5,0.06
40.5,-4.5,3.0,3.0,0.0,1.0,0.05333333333333334
40.5,-4.25,10.0,6.0,-4.0,0.6,0.05333333333333334
40.5,-4.0,12.0,4.0,-8.0,0.3333333333333333,0.056666666666666664
40.5,-3.75,10.0,6.0,-4.0,0.6,0.08
40.5,-3.5,3.0,3.0,0.0,1.0,0.09
40.5,-3.25,1.0,1.0,0.0,1.0,0.09333333333333334
40.5,-3.0,1.0,1.0,0.0,1.0,0.11
40.5,-2.75,3.0,2.0,-1.0,0.6666666666666666,0.11333333333333333
40.5,-2.25,3.0,0.0,-3.0,0.0,0.10666666666666667
40.5,-2.0,5.0,2.0,-3.0,0.4,0.1
