species,cell_id,n_obs_baseline,present_baseline,n_obs_recent,present_recent,outcome,extinction,colonization,persistence,temp_baseline,temp_recent,temp_delta,temp_baseline_max,cpi_baseline,cpi_recent,cpi_delta
Bombus lucorum,-5_50,6.0,1,4.0,1,1,0,0,1,9.462301254272461,10.608719825744629,1.146418571472168,17.179840087890625,0.33627862167106853,0.4406888761036797,0.10441025443261115
Bombus lucorum,-6_47,1.0,1,0.0,0,-1,1,0,0,10.670647621154785,11.902288436889648,1.2316408157348633,22.519927978515625,0.44632895995797556,0.5585008438932908,0.11217188393531524
Bombus lucorum,-6_49,2.0,1,37.0,1,1,0,0,1,7.914957046508789,9.289892196655273,1.3749351501464844,16.925933837890625,0.19535400090191313,0.32057643922196444,0.1252224383200513
Bombus lucorum,-6_50,3.0,1,95.0,1,1,0,0,1,9.921079635620117,11.126441955566406,1.205362319946289,17.580230712890625,0.3780619360003002,0.4878405017360785,0.10977856573577832
Bombus lucorum,-7_46,1.0,1,0.0,0,-1,1,0,0,15.44037914276123,16.679079055786133,1.2386999130249023,27.719146728515625,0.8807330198177691,0.9935478121658213,0.11281479234805225
Bombus lucorum,-7_47,1.0,1,0.0,0,-1,1,0,0,11.956936836242676,13.122255325317383,1.165318489074707,23.226226806640625,0.5634779555894641,0.6696095230352642,0.1061315674458001
Bombus lucorum,-7_48,0.0,0,1.0,1,2,0,1,0,11.226073265075684,12.480757713317871,1.2546844482421875,21.809722900390625,0.4969144391566487,0.6111850256016865,0.11427058644503785
Bombus lucorum,-7_49,3.0,1,2.0,1,1,0,0,1,8.275877952575684,9.84202766418457,1.5661497116088867,18.562164306640625,0.22822493004614489,0.37086226508046694,0.14263733503432205
Bombus lucorum,-7_50,0.0,0,2.0,1,2,0,1,0,9.970714569091797,11.193792343139648,1.2230777740478516,17.859527587890625,0.38258244549088605,0.49397444903739185,0.1113920035465058
Bombus lucorum,-8_44,1.0,1,2.0,1,1,0,0,1,16.749923706054688,17.649534225463867,0.8996105194091797,26.460113525390625,1.0,1.0819321716859036,0.08193217168590361
Bombus lucorum,-8_47,4.0,1,1.0,1,1,0,0,1,12.310458183288574,13.559911727905273,1.2494535446166992,23.076568603515625,0.5956749687144541,0.709469149776641,0.11379418106218686
Bombus lucorum,-8_48,0.0,0,1.0,1,2,0,1,0,11.736089706420898,12.792183876037598,1.0560941696166992,21.223052978515625,0.5433642679807639,0.6395482130933049,0.09618394511254102
Bombus lucorum,-8_49,1.0,1,0.0,0,-1,1,0,0,10.892032623291016,12.23859691619873,1.3465642929077148,19.325836181640625,0.46649163437359076,0.5891301923409649,0.1226385579673741
Bombus lucorum,-9_44,0.0,0,2.0,1,2,0,1,0,16.202836990356445,16.87080955505371,0.6679725646972656,23.003570556640625,0.9501739900205883,1.0110096979980725,0.060835707977484166
Bombus lucorum,-9_46,0.0,0,2.0,1,2,0,1,0,14.947171211242676,15.757932662963867,0.8107614517211914,22.099029541015625,0.8358140287097431,0.9096542573704299,0.07384022866068685
Bombus lucorum,-9_47,11.0,1,32.0,1,1,0,0,1,14.509889602661133,15.393967628479004,0.8840780258178711,23.068756103515625,0.7959885363923336,0.8765060837445098,0.0805175473521762
Bombus lucorum,-9_49,1.0,1,1.0,1,1,0,0,1,13.537678718566895,14.322678565979004,0.7849998474121094,19.696929931640625,0.7074442749014531,0.7789382613366241,0.07149398643517102
Bombus lucorum,0_48,1.0,1,0.0,0,-1,1,0,0,14.097161293029785,15.90290641784668,1.8057451248168945,26.107818603515625,0.7583992396969628,0.922857765242714,0.16445852554575124
Bombus lucorum,0_49,31.0,1,93.0,1,1,0,0,1,5.769981384277344,7.590302467346191,1.8203210830688477,17.961334228515625,0.0,0.1657860332707275,0.1657860332707275
Bombus lucorum,1_48,1.0,1,4.0,1,1,0,0,1,13.27826976776123,14.799768447875977,1.521498680114746,24.088287353515625,0.6838185632899123,0.8223892985019765,0.1385707352120642
Bombus lucorum,1_49,6.0,1,89.0,1,1,0,0,1,7.52157735824585,9.265178680419922,1.7436013221740723,19.783599853515625,0.15952688298684722,0.3183256517851001,0.15879876879825286
Bombus lucorum,2_48,3.0,1,7.0,1,1,0,0,1,14.54291820526123,15.853426933288574,1.3105087280273438,24.230865478515625,0.7989966216474437,0.9183514132867507,0.11935479163930707
Bombus lucorum,2_49,16.0,1,69.0,1,1,0,0,1,10.52103328704834,11.872958183288574,1.3519248962402344,21.988677978515625,0.43270281059198995,0.5558295863637406,0.12312677577175063
Bombus lucorum,3_48,0.0,0,4.0,1,2,0,1,0,15.497589111328125,16.42621421813965,0.9286251068115234,23.446441650390625,0.8859434268390725,0.9705181067050779,0.08457467986600542
Bombus magnus,-1_49,8.0,1,1.0,1,1,0,0,1,6.027148723602295,7.814065456390381,1.786916732788086,18.328521728515625,0.03263717873663166,0.25941527951944854,0.22677810078281688
